[03:24:32 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[04:34:47 Msk] [TX_27] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:34:47 Msk] [TX_30] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:34:47 Msk] [TX_28] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:34:47 Msk] [TX_42] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:34:47 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:34:47 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:34:47 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:35:22 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[04:35:22 Msk] [TX_1] Фасилити: 9 | Интент: TRIGGER_RESIZE | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: []
[04:35:22 Msk] [TX_2] Фасилити: 11 | Интент: BOOT_LAYOUT_TREE | Назначение (P1): 11 | Статус TX: READY | Трасса ORIGINS: []
[04:35:22 Msk] [TX_6] Фасилити: 0 | Интент: SYNCHRONIZE_DYNAMIC_SLOT | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [11]
[04:35:22 Msk] [TX_17] Фасилити: 12 | Интент: REGISTRATION_TAB_SPACE | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: []
[04:35:22 Msk] [TX_22] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [1]
[04:35:22 Msk] [TX_34] Фасилити: 9 | Интент: INJECT_GEO_MAP | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: [9]
[04:35:22 Msk] [TX_26] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:35:22 Msk] [TX_29] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:35:22 Msk] [TX_27] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:35:22 Msk] [TX_42] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:35:22 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:35:22 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:35:22 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:36:30 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[04:36:30 Msk] [TX_1] Фасилити: 9 | Интент: TRIGGER_RESIZE | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: []
[04:36:31 Msk] [TX_2] Фасилити: 11 | Интент: BOOT_LAYOUT_TREE | Назначение (P1): 11 | Статус TX: READY | Трасса ORIGINS: []
[04:36:31 Msk] [TX_6] Фасилити: 0 | Интент: SYNCHRONIZE_DYNAMIC_SLOT | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [11]
[04:36:31 Msk] [TX_17] Фасилити: 12 | Интент: REGISTRATION_TAB_SPACE | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: []
[04:36:31 Msk] [TX_22] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [1]
[04:36:31 Msk] [TX_34] Фасилити: 9 | Интент: INJECT_GEO_MAP | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: [9]
[04:36:31 Msk] [TX_26] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:36:31 Msk] [TX_29] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:36:31 Msk] [TX_27] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:36:31 Msk] [TX_42] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:36:31 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:36:31 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:36:31 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:39:49 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[04:39:49 Msk] [TX_1] Фасилити: 9 | Интент: TRIGGER_RESIZE | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: []
[04:39:49 Msk] [TX_2] Фасилити: 11 | Интент: BOOT_LAYOUT_TREE | Назначение (P1): 11 | Статус TX: READY | Трасса ORIGINS: []
[04:39:49 Msk] [TX_6] Фасилити: 0 | Интент: SYNCHRONIZE_DYNAMIC_SLOT | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [11]
[04:39:49 Msk] [TX_17] Фасилити: 12 | Интент: REGISTRATION_TAB_SPACE | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: []
[04:39:49 Msk] [TX_24] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [106]
[04:39:49 Msk] [TX_22] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [1]
[04:39:49 Msk] [TX_35] Фасилити: 9 | Интент: INJECT_GEO_MAP | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: [9]
[04:39:49 Msk] [TX_27] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:39:49 Msk] [TX_30] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:39:49 Msk] [TX_28] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:39:49 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:39:49 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:39:49 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:39:49 Msk] [TX_46] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:02 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 102
[04:40:02 Msk] [TX_54] Фасилити: 102 | Интент: MOUSE_CLICK | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:02 Msk] [TX_53] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_59] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_62] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_65] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_68] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_71] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_74] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_77] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_80] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_83] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_86] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_89] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:03 Msk] [TX_92] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:04 Msk] [TX_95] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:04 Msk] [TX_97] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:04 Msk] [TX_96] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[04:40:04 Msk] [TX_101] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:04 Msk] [TX_102] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:04 Msk] [TX_104] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:05 Msk] [TX_109] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:05 Msk] [TX_111] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:05 Msk] [TX_110] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[04:40:05 Msk] [TX_115] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:05 Msk] [TX_116] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:05 Msk] [TX_118] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:06 Msk] [TX_122] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:06 Msk] [TX_124] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:06 Msk] [TX_123] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[04:40:06 Msk] [TX_128] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:06 Msk] [TX_129] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:06 Msk] [TX_131] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[04:40:07 Msk] [TX_135] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:07 Msk] [TX_136] Фасилити: 104 | Интент: KEYBOARD_MODIFIER_CHANGED | Назначение (P1): 104 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:07 Msk] [TX_137] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:08 Msk] [TX_144] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:08 Msk] [TX_147] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:08 Msk] [TX_148] Фасилити: 104 | Интент: KEYBOARD_MODIFIER_CHANGED | Назначение (P1): 104 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:08 Msk] [TX_149] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:11 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 103
[04:40:11 Msk] [TX_155] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:11 Msk] [TX_157] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:11 Msk] [TX_156] Фасилити: 103 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [12]
[04:40:11 Msk] [TX_154] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:11 Msk] [TX_161] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:11 Msk] [TX_162] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:11 Msk] [TX_165] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:12 Msk] [TX_169] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:12 Msk] [TX_171] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:12 Msk] [TX_170] Фасилити: 103 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [12]
[04:40:12 Msk] [TX_175] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:12 Msk] [TX_176] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:12 Msk] [TX_178] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:13 Msk] [TX_182] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:13 Msk] [TX_184] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:13 Msk] [TX_183] Фасилити: 103 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [12]
[04:40:13 Msk] [TX_188] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:13 Msk] [TX_189] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:13 Msk] [TX_191] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[04:40:14 Msk] [TX_195] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_198] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_201] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_204] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_207] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_210] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_213] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_216] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_219] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_222] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_225] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:14 Msk] [TX_228] Фасилити: 103 | Интент: MOUSE_CLICK | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_231] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_234] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_237] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_240] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_243] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_246] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_249] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_252] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_255] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_258] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_261] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:15 Msk] [TX_264] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:17 Msk] [TX_267] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:18 Msk] [TX_270] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:18 Msk] [TX_273] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:20 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 105
[04:40:20 Msk] [TX_276] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:21 Msk] [TX_281] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:21 Msk] [TX_284] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:21 Msk] [TX_287] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:21 Msk] [TX_290] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:21 Msk] [TX_293] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:22 Msk] [TX_296] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:22 Msk] [TX_297] Фасилити: 104 | Интент: KEYBOARD_MODIFIER_CHANGED | Назначение (P1): 104 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:22 Msk] [TX_298] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[04:40:23 Msk] [TX_305] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:25 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 102
[04:42:25 Msk] [TX_309] Фасилити: 102 | Интент: MOUSE_CLICK | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:25 Msk] [TX_308] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_314] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_317] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_320] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_323] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_326] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_329] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_332] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:26 Msk] [TX_335] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 103
[04:42:27 Msk] [TX_339] Фасилити: 103 | Интент: MOUSE_CLICK | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_338] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_344] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_347] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_350] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_353] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_356] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_359] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_362] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[04:42:27 Msk] [TX_365] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
